species,Location,N.Rows,Mean.N_Percent.,Range.N_Percent.
Aciotis_indecora,La selva senderos sompopa and cantaran,2,2.18,0
Aciotis_rubricaulis,road to Selva Tica (pastures),2,2.5,0
Aciotis_rubricaulis,Virgen del Socorro roadside,2,2.16,0
Adelobotrys_adscendens,La Selva sendero experimental,3,2.4,0
Adelobotrys_adscendens,Selva Tica Sendero Tigre,2,1.95,0
Adelobotrys_adscendens,Virgen del Socorro forest,2,1.86,0
Arthrostemma_ciliatum,road to Selva Tica (pastures),2,4.26,0
Arthrostemma_ciliatum,Virgen del Socorro roadside,2,3.74,0
Blakea_anomala,Refugio 2000,1,1.53,0
Blakea_anomala,Refugio 2000 road,1,1.53,0
Blakea_anomala,Selva Tica Sendero Tigre,1,1.27,0
Blakea_anomala,Virgen del Socorro forest,1,1.47,0
Blakea_austin-smithii,Refugio 2000,2,1.16,0
Blakea_calycosa,Virgen del Socorro forest,3,1.25,0
Blakea_watsonii,Virgen del Socorro forest,1,0.99,0
Blakea_foliacea,Virgen del Socorro roadside,1,1.31,0
Blakea_henripittieri,Selva Tica Sendero Tigre,2,1.31,0
Blakea_maurofernandeziana,La selva senderos sompopa and cantaran,2,0.96,0
Blakea_penduliflora,Volcan Barva,2,2.61,0
Blakea_scarlatina,La Selva sendero jaguar,1,0.84,0
Blakea_scarlatina,Selva Tica Sendero Tigre,3,1.13,0
Centradenia_inaequilateralis,Virgen del Socorro roadside,2,2.27,0
Clidemia_biolleyana,Virgen del Socorro roadside,2,2.11,0
Clidemia_aurantiaca,Selva Tica Sendero Tigre,2,2.35,0
Clidemia_aurantiaca,Virgen del Socorro forest,2,2.29,0
Clidemia_capitellata,road to Selva Tica (pastures),1,1.4,0
Clidemia_costaricensis,Virgen del Socorro forest,2,1.78,0
Clidemia_crenulata,La Selva sendero jaguar,3,2.02,0
Clidemia_densiflora,La Selva sendero experimental,2,1.65,0
Clidemia_dentata,La selva senderos sompopa and cantaran,3,2.03,0
Clidemia_dentata,road to Selva Tica (pastures),1,1.48,0
Clidemia_dentata,Virgen del Socorro forest,1,2.18,0
Clidemia_discolor,La Selva SOR 100,3,2.15,0
Clidemia_epiphytica,La Selva sendero experimental,3,2.34,0
Clidemia_epiphytica,Selva Tica Sendero Tigre,2,2.08,0
Clidemia_hammelii,Selva Tica Sendero Tigre,1,1.56,0
Clidemia_hirta,road to Selva Tica (pastures),2,2.04,0
Clidemia_japurensis,La selva senderos sompopa and cantaran,3,2.09,0
Clidemia_japurensis,road to Selva Tica (pastures),2,2.27,0
Clidemia_ombrophila,La Selva sendero jaguar,2,1.99,0
Clidemia_reitziana,La Selva sendero experimental,2,1.87,0
Clidemia_reitziana,Virgen del Socorro roadside,1,1.86,0
Clidemia_sericea,road to Selva Tica (pastures),2,2.53,0
Clidemia_setosa,Virgen del Socorro forest,1,1.72,0
Clidemia_setosa,Virgen del Socorro roadside,1,1.72,0
Conostegia_tenuifolia,Virgen del Socorro roadside,2,1.67,0
Conostegia_bracteata,La Selva sendero jaguar,3,1.93,0
Conostegia_lasiopoda,La Selva sendero jaguar,2,1.63,0
Conostegia_lasiopoda,La selva senderos sompopa and cantaran,1,1.63,0
Conostegia_lasiopoda,Selva Tica Sendero Tigre,3,1.69,0
Conostegia_macrantha,Refugio 2000,3,1.71,0
Conostegia_micrantha,La Selva sendero experimental,1,2.45,0
Conostegia_micrantha,La Selva sendero jaguar,1,2.45,0
Conostegia_micrantha,Selva Tica Sendero Tigre,3,2.01,0
Conostegia_micrantha,Virgen del Socorro forest,2,2.51,0
Conostegia_montana,La Selva sendero jaguar,2,2.21,0
Conostegia_oerstediana,Refugio 2000 road,1,2.07,0
Conostegia_pittieri,Refugio 2000,3,1.7,0
Conostegia_rufescens,Selva Tica Sendero Tigre,3,1.92,0
Conostegia_setifera,La Selva sendero jaguar,2,1.95,0
Conostegia_setifera,Virgen del Socorro forest,2,1.89,0
Conostegia_setosa,La Selva sendero jaguar,3,1.77,0
Conostegia_setosa,Selva Tica Sendero Tigre,2,1.69,0
Conostegia_subcrustulata,La selva senderos sompopa and cantaran,3,3.27,0
Conostegia_xalapensis,road to Selva Tica (pastures),2,2.01,0
Graffenrieda_galeottii,Virgen del Socorro forest,1,2.09,0
Graffenrieda_galeottii,Virgen del Socorro roadside,2,2.09,0
Henriettea_tuberculosa,La Selva sendero experimental,3,1.96,0
Henriettea_tuberculosa,Selva Tica Sendero Tigre,3,1.94,0
Leandra_grandifolia,Virgen del Socorro roadside,1,2.59,0
Leandra_granatensis,La Selva sendero experimental,2,2.65,0
Leandra_grandifolia,La Selva sendero experimental,3,2.13,0
Meriania_phlomoides,Refugio 2000,3,2.62,0
Miconia_affinis,La Selva sendero experimental,3,2.46,0
Miconia_ampla,La Selva sendero jaguar,1,2.23,0
Miconia_amplinodis,Refugio 2000,3,3.47,0
Miconia_appendiculata,La Selva sendero jaguar,3,2.28,0
Miconia_arboricola,Selva Tica Sendero Tigre,2,1.52,0
Miconia_astroplocama,Virgen del Socorro roadside,1,1.85,0
Miconia_barbinervis,La Selva SOR 100,1,2.43,0
Miconia_biperulifera,Volcan Barva,2,1.69,0
Miconia_bubalina,La Selva sendero jaguar,2,2.37,0.5
Miconia_calvescens,Virgen del Socorro forest,1,1.7,0
Miconia_calvescens,Virgen del Socorro roadside,2,1.7,0
Miconia_centrodesma,La Selva sendero jaguar,1,2.19,0
Miconia_commutata,Selva Tica Sendero Tigre,3,1.77,0
Miconia_coriacea,Refugio 2000,2,1.51,0
Miconia_costaricensis,Refugio 2000,2,2.48,0
Miconia_costaricensis,Volcan Barva,3,1.51,0
Miconia_dolichopoda,Refugio 2000,3,2.06,0
Miconia_dorsiloba,La Selva sendero jaguar,2,2.71,0
Miconia_dorsiloba,Selva Tica Sendero Tigre,2,2.61,0
Miconia_elata,La Selva sendero jaguar,1,2.27,0
Miconia_elata,La selva senderos sompopa and cantaran,1,2.27,0
Miconia_gracilis,La Selva sendero experimental,2,2.92,0
Miconia_gracilis,La Selva sendero jaguar,2,2.92,0
Miconia_grandidentata,Refugio 2000 road,1,1.1,0
Miconia_grayumii,La Selva SOR 100,2,2.09,0
Miconia_impetiolaris,La selva senderos sompopa and cantaran,3,2.35,0
Miconia_lacera,La Selva sendero jaguar,1,1.73,0
Miconia_lacera,La selva senderos sompopa and cantaran,1,1.73,0
Miconia_lacera,road to Selva Tica (pastures),2,1.9,0
Miconia_ligulata,La Selva sendero experimental,3,1.68,0
Miconia_ligulata,Selva Tica Sendero Tigre,1,2.3,0
Miconia_longifolia,La Selva SOR 100,3,1.62,0
Miconia_loreyoides,Selva Tica Sendero Tigre,3,1.93,0
Miconia_melanotricha,Refugio 2000,1,3.47,0
Miconia_minutiflora,road to Selva Tica (pastures),2,1.67,0
Miconia_multispicata,La Selva sendero experimental,3,2.16,0
Miconia_multispicata,Selva Tica Sendero Tigre,1,1.98,0
Miconia_nervosa,La Selva sendero experimental,1,2.35,0
Miconia_oraria,Selva Tica Sendero Tigre,2,2.22,0
Miconia_punctata,La Selva sendero jaguar,2,2.64,0
Miconia_punctata,Selva Tica Sendero Tigre,3,2.21,0
Miconia_simplex,La Selva sendero experimental,1,2.05,0
Miconia_simplex,La Selva sendero jaguar,3,2.05,0
Miconia_sp,Refugio 2000 road,1,2.18,0
Miconia_stipules,Refugio 2000,1,1.82,0
Miconia_stevensiana,La Selva sendero experimental,1,2.54,0
Miconia_stevensiana,La Selva sendero jaguar,2,2.54,0
Miconia_theizans,Virgen del Socorro roadside,2,2.15,0
Miconia_tonduzii_hirtella,Volcan Barva,3,2.43,0
Miconia_tonduzii_red,Refugio 2000,3,1.82,0
Miconia_tonduzii_red,Refugio 2000 road,3,1.94,0
Miconia_tonduzii_reticulata,Refugio 2000,2,1.98,0
Miconia_tonduzii_serrulata,Refugio 2000,3,2.3,0
Miconia_tonduzii,Refugio 2000 road,1,2.43,0
Miconia_tonduzii,Volcan Barva,3,2.68,0
Monochaetum_floribundum,Refugio 2000 road,3,2.27,0
Monochaetum_vulcanicum,Refugio 2000,3,2.31,0
Monochaetum_vulcanicum,Volcan Barva,3,2.54,0
Mouriri_gleasoniana,La Selva sendero jaguar,2,1.52,0
Nepsera_aquatica,road to Selva Tica (pastures),2,2.48,0
Ossaea_brenesii,Selva Tica Sendero Tigre,2,2.04,0
Ossaea_laxivenula,Selva Tica Sendero Tigre,3,1.61,0
Ossaea_macrophylla,La Selva sendero jaguar,1,1.71,0
Ossaea_macrophylla,Selva Tica Sendero Tigre,3,1.43,0
Ossaea_micrantha,La selva senderos sompopa and cantaran,1,3.01,0
Ossaea_robusta,Selva Tica Sendero Tigre,3,1.79,0
Pilocosta_nana,Refugio 2000,2,1.91,0
Pilocosta_nana,Refugio 2000 road,2,1.91,0
Tibouchina_longifolia,Virgen del Socorro roadside,2,2.06,0
Tococa_platyphylla,Virgen del Socorro forest,1,1.64,0
Triolena_hirsuta,La Selva sendero experimental,2,2.09,0
